Nightmare Alley 	Nightmare Alley (2021)
Encanto 	Encanto (2021)
Home Team 	Home Team (2022)
Spider-Man: No Way Home 	Spider-Man: No Way Home (2021)
The Batman 	The Batman (2022)
Moonfall 	Moonfall (2022)
Eternals 	Eternals (2021)
Jackass Forever 	Jackass Forever (2022)
The Fallout 	The Fallout (2021)
House of Gucci 	House of Gucci (2021)
Uncharted 	Uncharted (2022)
Don't Look Up 	Don't Look Up (2021)
Ghostbusters: Afterlife 	Ghostbusters: Afterlife (2021)
Scream 	Scream (2022)
The Ice Age Adventures of Buck Wild 	The Ice Age Adventures of Buck Wild (2022)
Sing 2 	Sing 2 (2021)
Dune 	Dune (2021)
Death on the Nile 	Death on the Nile (2022)
Munich: The Edge of War 	Munich: The Edge of War (2021)
The Last Duel 	The Last Duel (2021)
The 355 	The 355 (2022)
Licorice Pizza 	Licorice Pizza (2021)
The Tinder Swindler 	The Tinder Swindler (2022)
The Matrix Resurrections 	The Matrix Resurrections (2021)
The Power of the Dog 	The Power of the Dog (2021)
Belfast 	Belfast (2021)
Clean 	Clean (2020)
Gold 	Gold (2022)
The King's Man 	The King's Man (2021)
No Time to Die 	No Time to Die (2021)
Nobody 	Nobody (2021)
The Suicide Squad 	The Suicide Squad (2021)
tick, tick...BOOM! 	tick, tick...BOOM! (2021)
After Yang 	After Yang (2021)
The French Dispatch 	The French Dispatch (2021)
The Tragedy of Macbeth 	The Tragedy of Macbeth (2021)
The Worst Person in the World 	The Worst Person in the World (2021)
Groundhog Day 	Groundhog Day (1993)
Texas Chainsaw Massacre 	Texas Chainsaw Massacre (2022)
Doctor Strange in the Multiverse of Madness 	Doctor Strange in the Multiverse of Madness (2022)
Can You Keep a Secret? 	Can You Keep a Secret? (2019)
Last Night in Soho 	Last Night in Soho (2021)
The Lost Daughter 	The Lost Daughter (2021)
The Requin 	The Requin (2022)
Once Upon a Time... In Hollywood 	Once Upon a Time... In Hollywood (2019)
Redeeming Love 	Redeeming Love (2022)
West Side Story 	West Side Story (2021)
Pleasure 	Pleasure (2021)
The Tender Bar 	The Tender Bar (2021)
Marry Me 	Marry Me (2022)
Shang-Chi and the Legend of the Ten Rings 	Shang-Chi and the Legend of the Ten Rings (2021)
Free Guy 	Free Guy (2021)
Hotel Transylvania 4: Transformania 	Hotel Transylvania 4: Transformania (2022)
Avengers: Endgame 	Avengers: Endgame (2019)
CODA 	CODA (2021)
Jurassic World Dominion 	Jurassic World Dominion (2022)
The Shawshank Redemption 	The Shawshank Redemption (1994)
I Want You Back 	I Want You Back (2022)
The Eyes of Tammy Faye 	The Eyes of Tammy Faye (2021)
Knives Out 2 	Knives Out 2 (2022)
Ghostbusters 	Ghostbusters (1984)
Spencer 	Spencer (2021)
The Royal Treatment 	The Royal Treatment (2022)
American Underdog 	American Underdog (2021)
The Woman in the Window 	The Woman in the Window (2021)
365 Days 	365 Days (2020)
Through My Window 	Through My Window (2022)
The Gray Man 	The Gray Man (2022)
The Dark Knight 	The Dark Knight (2008)
Thor: Love and Thunder 	Thor: Love and Thunder (2022)
Resident Evil: Welcome to Raccoon City 	Resident Evil: Welcome to Raccoon City (2021)
Harry Potter and the Sorcerer's Stone 	Harry Potter and the Sorcerer's Stone (2001)
Fantasy Island 	Fantasy Island (2020)
Last Survivors 	Last Survivors (2021)
Venom: Let There Be Carnage 	Venom: Let There Be Carnage (2021)
Scream 	Scream (1996)
The Unforgivable 	The Unforgivable (2021)
Red Notice 	Red Notice (2021)
Killers of the Flower Moon 	Killers of the Flower Moon (2022)
The Godfather 	The Godfather (1972)
King Richard 	King Richard (2021)
Spider-Man: Homecoming 	Spider-Man: Homecoming (2017)
Sing 	Sing (2016)
The Invisible Man 	The Invisible Man (2020)
My Best Friend Anne Frank 	My Best Friend Anne Frank (2021)
The Long Night 	The Long Night (2022)
Fight Club 	Fight Club (1999)
Spider-Man 	Spider-Man (2002)
The Ledge 	The Ledge (2022)
Pushpa: The Rise - Part 1 	Pushpa: The Rise - Part 1 (2021)
Interstellar 	Interstellar (2014)
The Wolf of Wall Street 	The Wolf of Wall Street (2013)
Love 	Love (2015)
Pinocchio 	Pinocchio (2022)
Blacklight 	Blacklight (2022)
Nightmare Alley 	Nightmare Alley (1947)
The Lord of the Rings: The Fellowship of the Ring 	The Lord of the Rings: The Fellowship of the Ring (2001)
Midsommar 	Midsommar (2019)
Knives Out 	Knives Out (2019)
The Gentlemen 	The Gentlemen (2019)
