title,year,rated,released,runtime,genre,director,writer,actors,plot,language,country,awards,ratings,metascore,imdb_rating,imdb_votes,imdb_id,box_office
Nightmare Alley,2021,R,17-Dec-21,150 min,"Crime, Drama, Thriller",Guillermo del Toro,"Guillermo del Toro, Kim Morgan, William Lindsay Gresham","Bradley Cooper, Cate Blanchett, Toni Collette",An ambitious carny with a talent for manipulating people with a few well-chosen words hooks up with a female psychiatrist who is even more dangerous than he is.,English,"United States, Mexico",12 wins & 69 nominations,"[{'source': 'Internet Movie Database', 'value': '7.4/10'}, {'source': 'Rotten Tomatoes', 'value': '81%'}, {'source': 'Metacritic', 'value': '69/100'}]",69,7.4,"7,449",tt7740496,"$9,112,849"
Encanto,2021,PG,24-Nov-21,102 min,"Animation, Adventure, Comedy","Jared Bush, Byron Howard, Charise Castro Smith","Charise Castro Smith, Jared Bush, Byron Howard","Stephanie Beatriz, María Cecilia Botero, John Leguizamo",A young Colombian woman has to face the frustration of being the only member of her family without magical powers.,"English, Spanish",United States,9 wins & 70 nominations,"[{'source': 'Internet Movie Database', 'value': '7.3/10'}, {'source': 'Metacritic', 'value': '76/100'}]",76,7.3,"1,12,762",tt2953050,"$93,465,570"
Home Team,2022,PG,28-Jan-22,95 min,"Comedy, Sport","Charles Kinnane, Daniel Kinnane","Chris Titone, Keith Blum","Kevin James, Taylor Lautner, Rob Schneider","The story about New Orleans Saints head coach Sean Payton coaching his son's 6th grade football team, when Payton was suspended for the entire 2012 season as a result of his role in the Saints' Bountygate scandal.",English,United States,N/A,"[{'source': 'Internet Movie Database', 'value': '6.0/10'}, {'source': 'Metacritic', 'value': '19/100'}]",19,6,"8,236",tt14592064,N/A
Spider-Man: No Way Home,2021,PG-13,17-Dec-21,148 min,"Action, Adventure, Fantasy",Jon Watts,"Chris McKenna, Erik Sommers, Stan Lee","Tom Holland, Zendaya, Benedict Cumberbatch","With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it truly means to be Spider-Man.",English,United States,4 wins & 26 nominations,"[{'source': 'Internet Movie Database', 'value': '8.7/10'}, {'source': 'Rotten Tomatoes', 'value': '93%'}, {'source': 'Metacritic', 'value': '71/100'}]",71,8.7,"4,14,761",tt10872600,"$720,891,602"
The Batman,2022,PG-13,04-Mar-22,175 min,"Action, Crime, Drama",Matt Reeves,"Matt Reeves, Peter Craig, Bob Kane","Barry Keoghan, Zoë Kravitz, Robert Pattinson","In his second year of fighting crime, Batman uncovers corruption in Gotham City that connects to his own family while facing a serial killer known as the Riddler.",English,United States,3 nominations,[],N/A,N/A,N/A,tt1877830,N/A
Moonfall,2022,PG-13,04-Feb-22,120 min,"Action, Adventure, Fantasy",Roland Emmerich,"Spenser Cohen, Roland Emmerich, Harald Kloser","Halle Berry, Patrick Wilson, John Bradley","In Moonfall, a mysterious force knocks the Moon from its orbit around Earth and sends it hurtling on a collision course with life as we know it. With mere weeks before impact and the world on the brink of annihilation, NASA executive",English,"United Kingdom, China, United States",N/A,[],N/A,N/A,N/A,tt5834426,N/A
Eternals,2021,PG-13,05-Nov-21,156 min,"Action, Adventure, Fantasy",Chloé Zhao,"Chloé Zhao, Patrick Burleigh, Ryan Firpo","Gemma Chan, Richard Madden, Angelina Jolie","The saga of the Eternals, a race of immortal beings who lived on Earth and shaped its history and civilizations.","English, American Sign , Marathi, Spanish, Sumerian, Latin, Greek, Ancient (to 1453)",United States,7 nominations,"[{'source': 'Internet Movie Database', 'value': '6.7/10'}, {'source': 'Rotten Tomatoes', 'value': '47%'}, {'source': 'Metacritic', 'value': '52/100'}]",52,6.7,"1,41,954",tt9032400,"$164,814,369"
Jackass Forever,2022,R,04-Feb-22,96 min,"Documentary, Action, Comedy",Jeff Tremaine,"Jason 'Wee Man' Acuña, Eric André, Derrick Beckles","Johnny Knoxville, Steve-O, Chris Pontius","After 11 years, the Jackass crew is back for their final crusade.",English,United States,N/A,[],N/A,N/A,N/A,tt11466222,N/A
The Fallout,2021,R,27-Jan-22,92 min,Drama,Megan Park,Megan Park,"Jenna Ortega, Maddie Ziegler, Niles Fitch","High schooler Vada navigates the emotional fallout she experiences in the wake of a school tragedy. Relationships with her family, friends and view of the world are forever altered.",English,United States,4 wins & 1 nomination,"[{'source': 'Internet Movie Database', 'value': '8.0/10'}, {'source': 'Rotten Tomatoes', 'value': '92%'}, {'source': 'Metacritic', 'value': '86/100'}]",86,8,212,tt11847410,N/A
House of Gucci,2021,R,24-Nov-21,158 min,"Crime, Drama",Ridley Scott,"Becky Johnston, Roberto Bentivegna, Sara Gay Forden","Lady Gaga, Adam Driver, Al Pacino","When Patrizia Reggiani, an outsider from humble beginnings, marries into the Gucci family, her unbridled ambition begins to unravel their legacy and triggers a reckless spiral of betrayal, decadence, revenge, and ultimately...murder.","English, Italian, Arabic, French, Japanese","United States, Canada",2 wins & 51 nominations,"[{'source': 'Internet Movie Database', 'value': '6.9/10'}, {'source': 'Rotten Tomatoes', 'value': '63%'}, {'source': 'Metacritic', 'value': '59/100'}]",59,6.9,"46,346",tt11214590,"$50,278,180"
