genre_1,genre_2,frequency
Drama,NULL,7
Crime,Drama,14
Crime,Thriller,2
Drama,Thriller,2
Animation,Comedy,5
Animation,Family,2
Comedy,Family,3
Comedy,Sport,1
Action,Adventure,19
Action,Fantasy,6
Adventure,Fantasy,7
Action,Crime,5
Action,Drama,7
Action,Sci-Fi,7
Adventure,Sci-Fi,6
Documentary,Action,1
Documentary,Comedy,1
Action,Comedy,6
Comedy,Drama,10
Comedy,Sci-Fi,1
Drama,Sci-Fi,3
Adventure,Comedy,6
Comedy,Fantasy,3
Horror,Mystery,6
Horror,Thriller,3
Mystery,Thriller,1
Animation,Adventure,3
Adventure,Drama,4
Crime,Mystery,2
Drama,Mystery,5
Biography,Drama,7
Biography,History,2
Drama,History,6
Action,History,1
Action,Thriller,7
Comedy,Romance,8
Drama,Romance,9
Documentary,Crime,1
Drama,Western,1
Romance,Western,1
Adventure,Thriller,2
Biography,Musical,1
Drama,Musical,2
History,Thriller,1
Drama,Fantasy,1
Crime,Horror,1
Drama,Horror,3
History,Romance,1
Crime,Musical,1
Comedy,Music,2
Music,Romance,1
Drama,Music,1
Biography,Romance,1
Comedy,Crime,4
Family,Romance,1
Biography,Sport,2
Drama,Sport,2
Action,Horror,1
Horror,Sci-Fi,1
Adventure,Family,1
Family,Fantasy,1
Fantasy,Horror,1
Fantasy,Mystery,1
Sci-Fi,Thriller,1
Comedy,Thriller,1
Crime,History,1
Horror,NULL,1
Thriller,NULL,1
Adventure,Crime,1
Biography,Comedy,1
Biography,Crime,1
Animation,NULL,1
Drama,Film-Noir,1
